      Step     Time          Energy          fmax
FIRE:    0 00:55:27    -1029.817985        3.029686
FIRE:    1 00:55:28    -1032.585159        1.083591
FIRE:    2 00:55:29    -1033.146444        1.222535
FIRE:    3 00:55:30    -1033.313660        1.067315
FIRE:    4 00:55:31    -1033.565614        0.811955
FIRE:    5 00:55:32    -1033.792034        0.790889
FIRE:    6 00:55:33    -1033.933439        0.733337
FIRE:    7 00:55:34    -1034.022630        0.758522
FIRE:    8 00:55:35    -1034.135798        0.817256
FIRE:    9 00:55:36    -1034.300786        0.656038
FIRE:   10 00:55:37    -1034.492341        0.514669
FIRE:   11 00:55:38    -1034.626551        0.525296
FIRE:   12 00:55:39    -1034.697175        0.526557
FIRE:   13 00:55:40    -1034.809538        0.592375
FIRE:   14 00:55:41    -1035.005014        0.433206
FIRE:   15 00:55:41    -1035.146842        0.405008
FIRE:   16 00:55:42    -1035.223166        0.593477
FIRE:   17 00:55:44    -1035.408972        0.262429
FIRE:   18 00:55:45    -1035.512469        0.492090
FIRE:   19 00:55:45    -1035.541724        0.383799
FIRE:   20 00:55:46    -1035.579510        0.199329
FIRE:   21 00:55:47    -1035.603297        0.191982
FIRE:   22 00:55:48    -1035.613661        0.251257
FIRE:   23 00:55:49    -1035.629198        0.297807
FIRE:   24 00:55:50    -1035.659072        0.244234
FIRE:   25 00:55:51    -1035.693022        0.170308
FIRE:   26 00:55:52    -1035.719019        0.180777
FIRE:   27 00:55:53    -1035.735897        0.259091
FIRE:   28 00:55:54    -1035.762418        0.231859
FIRE:   29 00:55:55    -1035.801360        0.147440
FIRE:   30 00:55:56    -1035.824329        0.170635
FIRE:   31 00:55:57    -1035.847108        0.250231
FIRE:   32 00:55:58    -1035.886716        0.153002
FIRE:   33 00:55:59    -1035.913723        0.199565
FIRE:   34 00:56:00    -1035.963497        0.118209
FIRE:   35 00:56:01    -1035.993607        0.222516
FIRE:   36 00:56:02    -1036.045101        0.276293
FIRE:   37 00:56:03    -1036.061448        0.701259
FIRE:   38 00:56:04    -1036.096859        0.091935
      Step     Time          Energy          fmax
FIRE:    0 00:56:05    -1029.796493        2.918761
FIRE:    1 00:56:06    -1032.576223        1.252341
FIRE:    2 00:56:07    -1033.077941        1.150856
FIRE:    3 00:56:08    -1033.222144        1.007523
FIRE:    4 00:56:09    -1033.431865        0.748596
FIRE:    5 00:56:10    -1033.602049        0.527934
FIRE:    6 00:56:11    -1033.674640        0.464933
FIRE:    7 00:56:12    -1033.687779        0.732784
FIRE:    8 00:56:13    -1033.700364        0.699367
FIRE:    9 00:56:14    -1033.723582        0.635040
FIRE:   10 00:56:15    -1033.753647        0.544752
FIRE:   11 00:56:16    -1033.785791        0.435689
FIRE:   12 00:56:16    -1033.815980        0.316919
FIRE:   13 00:56:17    -1033.841152        0.236210
FIRE:   14 00:56:18    -1033.860196        0.232403
FIRE:   15 00:56:19    -1033.875813        0.257641
FIRE:   16 00:56:20    -1033.890548        0.269353
FIRE:   17 00:56:21    -1033.909037        0.285736
FIRE:   18 00:56:22    -1033.936278        0.307477
FIRE:   19 00:56:23    -1033.974332        0.290965
FIRE:   20 00:56:24    -1034.019636        0.229025
FIRE:   21 00:56:25    -1034.062405        0.159277
